id, longitude, latitude
67,116.39075,39.84218
45,115.8365,39.53876
57,116.21113,39.87394
88,116.26146,39.8783
56,116.35186,39.72056
69,116.52464,40.05504
55,116.26146,39.8783
22,116.26146,39.8783
14,116.52464,40.05504
47,116.52464,40.05504
33,116.26146,39.8783
36,116.52464,40.05504
66,116.26146,39.8783
35,116.71057,40.06086
44,116.26146,39.8783
99,116.26146,39.8783
58,116.52464,40.05504
46,116.54917,39.81504
25,116.18074,39.80052
34,116.35186,39.72056
77,116.26146,39.8783
89,116.35186,39.72056
78,116.35186,39.72056
79,116.54917,39.81504
12,116.36904,39.7863
23,116.36904,39.7863
11,116.26146,39.8783
68,116.55689,39.94678
13,116.55689,39.94678
15,116.3483,39.97399
48,116.3483,39.97399
37,116.3483,39.97399
26,116.3483,39.97399
24,116.55689,39.94678
18,116.39721,39.93422
59,116.3483,39.97399
49,116.09188,39.83148
27,116.4761,39.97336
19,116.28847,39.8966
29,116.39721,39.93422
28,116.47959,40.01166
16,116.4761,39.97336
38,116.4761,39.97336
17,116.47959,40.01166
100,116.5296,39.87501
1,#NAME?,#NAME?
39,116.47959,40.01166
2,116.45232,39.88002
5,116.62959,39.82753
4,116.39878,39.93926
3,116.30443,39.94148
6,116.43453,39.92262
7,116.74974,39.79584
8,116.36606,39.6841
90,116.74974,39.79584
80,116.27546,39.41279
92,116.18223,39.83139
9,116.18223,39.83139
91,116.34323,39.56673
81,116.39309,39.97828
70,116.39309,39.97828
60,116.44653,39.98828
82,116.44653,39.98828
72,116.48698,39.81823
71,116.25333,39.91265
83,116.48698,39.81823
62,115.92249,39.95351
40,115.92249,39.95351
93,116.25333,39.91265
50,116.40776,40.01495
61,116.40776,40.01495
94,116.40776,40.01495
51,116.25099,39.95887
73,116.25099,39.95887
84,116.25099,39.95887
95,116.25099,39.95887
96,116.33711,39.91818
85,116.29775,39.96224
20,116.47336,39.99682
41,116.32747,39.91312
42,116.47336,39.99682
52,116.32747,39.91312
21,116.5662,40.07105
53,116.47336,39.99682
30,116.32747,39.91312
98,116.5662,40.07105
75,116.47336,39.99682
32,116.5662,40.07105
97,116.47336,39.99682
63,116.32747,39.91312
54,116.01592,39.86285
74,116.32747,39.91312
87,116.33312,39.86869
76,116.12082,39.77675
31,116.47336,39.99682
86,116.47336,39.99682
64,116.47336,39.99682
10,116.12082,39.77675
65,116.12082,39.77675
